w_coh,mean_combined,ci_low,ci_high
0.0,0.6947825671018573,0.6765434187180022,0.6980059243601265
0.025,0.6957109292803854,0.6771046157899923,0.6992642726858653
0.05,0.6967043716196695,0.6776658128619824,0.700522621011604
0.07500000000000001,0.6973188845045349,0.6782270099339726,0.7017809693373429
0.1,0.6981730362590319,0.6787882070059627,0.7030393176630816
0.125,0.699072064986241,0.6781433649358122,0.7042976659888204
0.15000000000000002,0.7002955884793521,0.6801998385217306,0.7055560143145592
0.17500000000000002,0.7013794240226858,0.6822563121076489,0.7068143626402978
0.2,0.7018790694677034,0.6838885339884837,0.7080727109660366
0.225,0.7036439529848019,0.6835808355736833,0.7093310592917754
0.25,0.7045812540137767,0.683273137158883,0.7105894076175141
0.275,0.7057059728091148,0.6829654387440828,0.7118477559432528
0.30000000000000004,0.7063242602074323,0.6838462840987701,0.7131061042689917
0.325,0.707527752308774,0.6838389806538736,0.7143644525947305
0.35000000000000003,0.7093892538725997,0.6881173420996411,0.7156228009204691
0.375,0.7105674077755275,0.6902528711000766,0.7168811492462079
0.4,0.7113885564493319,0.6923884001005122,0.7181394975719467
0.42500000000000004,0.7130078684409116,0.6954972814434477,0.7193978458976855
0.45,0.7139981348576525,0.7004452024866695,0.7206561942234242
0.47500000000000003,0.7156899489243562,0.7027771640779661,0.7219145425491629
0.5,0.7174562667632959,0.7009305161022543,0.7231728908749018
0.525,0.7197435327388468,0.7037618663331453,0.7244312392006405
0.55,0.7221848027984524,0.707903780562656,0.7256895875263792
0.5750000000000001,0.7250040298350835,0.7151598894823419,0.726947935852118
0.6000000000000001,0.7281562399004696,0.7172163630682602,0.7301327287460007
0.625,0.7327519648512119,0.7192728366541784,0.7350806497892226
0.65,0.7378671802518345,0.7213293102400967,0.7400285708324443
0.675,0.7432623628944005,0.7236122649990255,0.7459056141045841
0.7000000000000001,0.7496802324937656,0.7329374035287494,0.7535059808129698
0.7250000000000001,0.7566349065875029,0.7407184360507069,0.7611063475213554
0.75,0.7640241761758454,0.7515876805881969,0.768706714229741
0.775,0.7719135329722899,0.7609128191179207,0.7763070809381266
0.8,0.7805304442520162,0.7697160970917756,0.7839074476465123
0.8250000000000001,0.7895278962229063,0.7779818914602625,0.7915078143548978
0.8500000000000001,0.8009301580075585,0.7919300954499044,0.8032801365773912
0.875,0.8136875828696496,0.8071024187047381,0.8157605771430143
0.9,0.8277533231316202,0.8256760055471705,0.8282410177086376
0.925,0.844724797960359,0.8426350085989569,0.8451093893221485
0.9500000000000001,0.8636030713479668,0.8607417505573797,0.8645427730971266
0.9750000000000001,0.8827720869772231,0.8802095297895679,0.8839761568721046
1.0,0.9020611891447987,0.899268450385587,0.9034095406470826
